CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
00a530520c84927490b597a6220ff3f2a3347472ef3086ef96b91ee2d70fdbae5cbd9eddad123c5ce1517b97c0740b0962926515bbbf0c6b06b30ef5f5578054,,01/15/2025 01:50:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,RAMP,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",01/15/2025 01:52:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1234,W,43RD ST,924,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,4,1,41.81607348,-87.6567427,POINT (-87.656742699936 41.816073475493)
019d84ab0f03ace0b07075b0a7d83ba867b7dadad30410c289e3cd0b57f08853586bcc0fcf3a32cccd6012284bade23c9d50a540ece58087fe74947fb2077e31,Y,03/29/2025 06:10:00 PM,35,STOP SIGN/FLASHER,NO CONTROLS,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",03/29/2025 06:13:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,2922,W,55TH ST,923,N,Y,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,4,0,18,7,3,41.7937389,-87.69731132,POINT (-87.697311324011 41.793738897511)
03a3b86d3b62c8948e25623db7ccf326fed99eaa297b59d94f22a342477fdf3d4855d2d93f6803618d9e5635c1b0a8a6f2bf0c653bd09eafe52b9321bb1dc555,,03/15/2025 12:01:00 AM,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",03/15/2025 12:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3943,W,31ST ST,1031,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,0,7,3,41.83678403,-87.72361028,POINT (-87.723610276569 41.836784034697)
088061d9b7e5ab5b1353517ebefcadca065c20de8ca860e36ec91082e55a873f599c5d8832612471300158af10e54df03ef05130f27de119b792d50c16367972,N,03/15/2025 02:12:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,UNKNOWN,UNKNOWN,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,03/27/2025 06:27:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,801,S,WABASH AVE,123,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,7,3,41.87177833,-87.62578912,POINT (-87.625789124419 41.871778332743)
098ff346c933f2cab3b7fadac8201bd6b6e6c4d175f501d35f2f4153578dbd17eae3d229e6c75cdac8e3e6e0d3950973e06a484541d6df822c785d5a6fe01ee4,,03/15/2025 04:45:00 PM,30,UNKNOWN,UNKNOWN,CLEAR,DAYLIGHT,REAR TO FRONT,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,03/15/2025 04:55:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1104,W,18TH ST,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,7,3,41.85810453,-87.65360897,POINT (-87.653608970058 41.858104530861)
0d8fa665a92265ea66c3ae2bad6a1cdecd876885bf0148f76f6d270a0715c157cd9689af86b312f8dd58d2e0c2b00913a82f44ee6cebc4c30f1e27a0f758b5a9,,03/15/2025 01:20:00 PM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR TO FRONT,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",03/15/2025 01:40:00 PM,IMPROPER BACKING,NOT APPLICABLE,2383,W,GLENLAKE AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,13,7,3,41.99216426,-87.68964185,POINT (-87.689641847043 41.99216426286)
204c3ca48ff3cdf0737e7f10b54ef5f8c49fbe30b5e53e53f11755039efb71f965386bae115439bdf7458b55ed9243e8ed673a46843038ef32b79a4a95ba7de6,,12/04/2024 17:39,30,UNKNOWN,UNKNOWN,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",12/04/2024 17:55,FOLLOWING TOO CLOSELY,FAILING TO YIELD RIGHT-OF-WAY,199,E,BELLEVUE PL,1824,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,17,4,12,,,
05a9c5c6ab19f092cd1477140875cf33cc6f157c7611688eaae62e993c522ff619ea5d71c967b86b8db36145b7be667da4b1297fcd2965d65ab388274fbdd6d2,,03/28/2025 09:59:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",03/28/2025 11:00:00 AM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,4401,S,PULASKI RD,821,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,9,6,3,41.81327793,-87.72364188,POINT (-87.723641881733 41.813277928858)
0235f4b4460f50115c7f6cb0d2bedeea7ce92b9b0f594301c68796ed9f588b036a5a373d90c24d5e8f2dd83f5c9ff477d78599bc02e81625ce5550bda4c885bc,,01/15/2025 06:40:00 PM,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/15/2025 06:42:00 PM,DISREGARDING TRAFFIC SIGNALS,UNABLE TO DETERMINE,2500,S,PULASKI RD,1013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,4,1,41.84603757,-87.72476137,POINT (-87.724761370522 41.846037568964)
12397229c745c10eac953e2f6ee70d5b707992a1df12508ee28852d4c86eaff0d38be89902c6b3a8c5520952e4b29dc74daef46785eb547881434eb3e26918e9,,06/23/2023 07:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",06/23/2023 07:48:00 PM,IMPROPER BACKING,NOT APPLICABLE,4077,N,BROADWAY,1915,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,6,6,41.95654471,-87.65164912,POINT (-87.651649124198 41.956544705841)
